Station,Direction,Year,Month,Day,Time_Period,Volume,OBJECTID
130032 Washington,Inbound,2016,January,Thursday,10-11 AM,1187,82
130032 Washington,Inbound,2016,January,Thursday,11-12 AM,1242,83
130032 Washington,Inbound,2016,January,Thursday,12-1 PM,1426,84
130032 Washington,Inbound,2016,January,Thursday,1-2 PM,1330,85
130032 Washington,Inbound,2016,January,Thursday,2-3 PM,1312,86
130032 Washington,Inbound,2016,January,Thursday,3-4 PM,1316,87
130032 Washington,Inbound,2016,January,Thursday,4-5 PM,1460,88
130032 Washington,Inbound,2016,January,Thursday,5-6 PM,1520,89
130032 Washington,Inbound,2016,January,Thursday,6-7 PM,1258,90
130032 Washington,Inbound,2016,January,Thursday,7-8 PM,851,91
130032 Washington,Inbound,2016,January,Thursday,8-9 PM,681,92
130032 Washington,Inbound,2016,January,Thursday,9-10 PM,695,93
130032 Washington,Inbound,2016,January,Thursday,10-11 PM,521,94
130032 Washington,Inbound,2016,January,Thursday,11-12 PM,343,95
130032 Washington,Inbound,2016,January,Friday,12-1 AM,200,96
130032 Washington,Inbound,2016,January,Friday,1-2 AM,171,97
130032 Washington,Inbound,2016,January,Friday,2-3 AM,147,98
130032 Washington,Inbound,2016,January,Friday,3-4 AM,113,99
130032 Washington,Inbound,2016,January,Friday,4-5 AM,162,100
130032 Washington,Inbound,2016,January,Friday,5-6 AM,473,101
130032 Washington,Inbound,2016,January,Friday,6-7 AM,1255,102
130032 Washington,Inbound,2016,January,Friday,7-8 AM,2110,103
130032 Washington,Inbound,2016,January,Friday,8-9 AM,1756,104
130032 Washington,Inbound,2016,January,Friday,9-10 AM,1156,105
130032 Washington,Inbound,2016,January,Friday,10-11 AM,1069,106
130032 Washington,Inbound,2016,January,Friday,11-12 AM,1134,107
130032 Washington,Inbound,2016,January,Friday,12-1 PM,1313,108
130032 Washington,Inbound,2016,January,Friday,1-2 PM,1310,109
130032 Washington,Inbound,2016,January,Friday,2-3 PM,1284,110
130032 Washington,Inbound,2016,January,Friday,3-4 PM,1279,111
130032 Washington,Inbound,2016,January,Friday,4-5 PM,1382,112
130032 Washington,Inbound,2016,January,Friday,5-6 PM,1455,113
130032 Washington,Inbound,2016,January,Friday,6-7 PM,1312,114
130032 Washington,Inbound,2016,January,Friday,7-8 PM,961,115
130032 Washington,Inbound,2016,January,Friday,8-9 PM,716,116
130032 Washington,Inbound,2016,January,Friday,9-10 PM,690,117
130032 Washington,Inbound,2016,January,Friday,10-11 PM,564,118
130032 Washington,Inbound,2016,January,Friday,11-12 PM,400,119
130032 Washington,Inbound,2016,January,Saturday,12-1 AM,273,120
130032 Washington,Inbound,2016,January,Saturday,1-2 AM,156,121
130032 Washington,Inbound,2016,January,Saturday,2-3 AM,159,122
130032 Washington,Inbound,2016,January,Saturday,3-4 AM,101,123
130032 Washington,Inbound,2016,January,Saturday,4-5 AM,96,124
130032 Washington,Inbound,2016,January,Saturday,5-6 AM,203,125
130032 Washington,Inbound,2016,January,Saturday,6-7 AM,416,126
130032 Washington,Inbound,2016,January,Saturday,7-8 AM,484,127
130032 Washington,Inbound,2016,January,Saturday,8-9 AM,735,128
130032 Washington,Inbound,2016,January,Saturday,9-10 AM,896,129
130032 Washington,Inbound,2016,January,Saturday,10-11 AM,1188,130
130032 Washington,Inbound,2016,January,Saturday,11-12 AM,1207,131
130032 Washington,Inbound,2016,January,Saturday,12-1 PM,1349,132
130032 Washington,Inbound,2016,January,Saturday,1-2 PM,1427,133
130032 Washington,Inbound,2016,January,Saturday,2-3 PM,1394,134
130032 Washington,Inbound,2016,January,Saturday,3-4 PM,1330,135
130032 Washington,Inbound,2016,January,Saturday,4-5 PM,1321,136
130032 Washington,Inbound,2016,January,Saturday,5-6 PM,1427,137
130032 Washington,Inbound,2016,January,Saturday,6-7 PM,1366,138
130032 Washington,Inbound,2016,January,Saturday,7-8 PM,937,139
130032 Washington,Inbound,2016,January,Saturday,8-9 PM,667,140
130032 Washington,Inbound,2016,January,Saturday,9-10 PM,625,141
130032 Washington,Inbound,2016,January,Saturday,10-11 PM,581,142
130032 Washington,Inbound,2016,January,Saturday,11-12 PM,442,143
130032 Washington,Inbound,2016,January,Sunday,12-1 AM,258,144
130032 Washington,Inbound,2016,January,Sunday,1-2 AM,183,145
130032 Washington,Inbound,2016,January,Sunday,2-3 AM,155,146
130032 Washington,Inbound,2016,January,Sunday,3-4 AM,80,147
