row_info,upt,vrm,vrh,voms
5 digit NTD ID,50005.0,50005.0,50005.0,50005.0
4 digit NTD ID,5005,5005,5005,5005
Agency,City of Madison,City of Madison,City of Madison,City of Madison
Active,Active,Active,Active,Active
Reporter Type,Full Reporter,Full Reporter,Full Reporter,Full Reporter
UZA,92.0,92.0,92.0,92.0
UZA Name,"Madison, WI","Madison, WI","Madison, WI","Madison, WI"
Modes,MB,MB,MB,MB
TOS,DO,DO,DO,DO
SEP10,1276137.0,412641.0,33028.0,167.0
OCT10,1321002.0,418652.0,33511.0,167.0
NOV10,1296729.0,398617.0,31903.0,167.0
DEC10,1172579.0,416700.0,33194.0,167.0
JAN11,1253477.0,395211.0,31382.0,168.0
FEB11,1380899.0,383569.0,30695.0,168.0
MAR11,1503161.0,436474.0,34779.0,168.0
APR11,1277710.0,409032.0,32704.0,168.0
MAY11,1108376.0,405869.0,32184.0,168.0
JUN11,913952.0,385732.0,30476.0,129.0
JUL11,790556.0,362636.0,28698.0,129.0
AUG11,857759.0,394132.0,31270.0,168.0
SEP11,1461754.0,412705.0,33008.0,170.0
OCT11,1514430.0,418072.0,33354.0,170.0
NOV11,1459797.0,400289.0,31907.0,170.0
DEC11,1274952.0,412676.0,32830.0,170.0
JAN12,1151137.0,394403.0,31276.0,174.0
FEB12,1533573.0,415803.0,32973.0,174.0
MAR12,1477089.0,442085.0,35058.0,174.0
APR12,1252594.0,404635.0,32088.0,174.0
MAY12,1233673.0,431683.0,34233.0,174.0
JUN12,913552.0,369322.0,29287.0,174.0
JUL12,873433.0,360758.0,28608.0,128.0
AUG12,892658.0,384276.0,30473.0,128.0
SEP12,1287080.0,400767.0,31781.0,175.0
OCT12,1537433.0,452302.0,35868.0,175.0
NOV12,1384960.0,412385.0,32702.0,175.0
DEC12,1057505.0,354446.0,28108.0,175.0
JAN13,1241488.0,405974.0,31959.0,175.0
FEB13,1489845.0,393100.0,31221.0,175.0
MAR13,1399352.0,412073.0,32663.0,175.0
APR13,1316384.0,429468.0,34069.0,175.0
MAY13,1229127.0,425905.0,33595.0,175.0
JUN13,898231.0,373001.0,29287.0,175.0
JUL13,893001.0,384004.0,30240.0,175.0
AUG13,879868.0,394030.0,31235.0,175.0
SEP13,1312062.0,417941.0,33564.0,175.0
OCT13,1503635.0,459073.0,36922.0,175.0
NOV13,1353930.0,406234.0,32603.0,175.0
DEC13,1223813.0,421208.0,33742.0,175.0
JAN14,1226695.0,420085.0,33530.0,178.0
FEB14,1557113.0,406942.0,32701.0,179.0
MAR14,1470020.0,433420.0,34696.0,179.0
APR14,1471036.0,436282.0,35120.0,179.0
MAY14,1224977.0,428038.0,34185.0,179.0
JUN14,947524.0,396431.0,31560.0,179.0
JUL14,927231.0,398384.0,31814.0,179.0
AUG14,836201.0,396450.0,31720.0,179.0
SEP14,1402379.0,432249.0,34658.0,179.0
OCT14,1588507.0,464246.0,37237.0,179.0
NOV14,1345389.0,395028.0,31640.0,179.0
DEC14,1226889.0,432452.0,34605.0,179.0
JAN15,1203873.0,423533.0,33760.0,179.0
FEB15,1486279.0,408771.0,32970.0,179.0
MAR15,1478095.0,445783.0,35739.0,179.0
APR15,1344282.0,437837.0,35108.0,179.0
MAY15,1130796.0,418614.0,33369.0,179.0
JUN15,903186.0,412316.0,32795.0,179.0
JUL15,900740.0,414660.0,33081.0,179.0
AUG15,813058.0,400722.0,32061.0,179.0
SEP15,1338533.0,427813.0,34347.0,182.0
OCT15,1410801.0,448105.0,35973.0,182.0
NOV15,1231309.0,402616.0,32300.0,182.0
DEC15,1117309.0,429988.0,34299.0,182.0
JAN16,1126100.0,405481.0,32325.0,182.0
FEB16,1398489.0,421619.0,33872.0,182.0
MAR16,1255876.0,446775.0,35847.0,182.0
APR16,1257823.0,428532.0,34412.0,182.0
MAY16,1022718.0,425090.0,33898.0,182.0
JUN16,847429.0,405811.0,32319.0,182.0
JUL16,777758.0,382079.0,30456.0,182.0
AUG16,811545.0,415260.0,33191.0,182.0
SEP16,1257821.0,431873.0,34545.0,182.0
OCT16,1304654.0,440752.0,35244.0,182.0
NOV16,1161149.0,419079.0,33506.0,182.0
DEC16,1083929.0,428565.0,34210.0,182.0
JAN17,1105684.0,421179.0,33444.0,182.0
FEB17,1260263.0,408585.0,32692.0,182.0
MAR17,1330069.0,457952.0,36550.0,182.0
APR17,1181920.0,417025.0,33379.0,182.0
MAY17,1053067.0,440872.0,35013.0,182.0
