rank,cross_1,cross_2,impact_index,generated_time,agent_range,agent_interval
71,Lake Point,1531,-0.007907104518645347,2020-10-11 20:36:29.231301,0.6,0.05
72,Excelsior,8417,-0.008155657454326934,2020-10-11 20:36:29.231301,0.6,0.05
73,Mohawk,Nakoma,-0.008198470666042665,2020-10-11 20:36:29.231301,0.6,0.05
74,Atwood,Division,-0.008243580603082189,2020-10-11 20:36:29.231301,0.6,0.05
75,Continental,E Washington,-0.008436818386381134,2020-10-11 20:36:29.231301,0.6,0.05
76,W Johnson,N Broom,-0.00860240132711712,2020-10-11 20:36:29.231301,0.6,0.05
77,Muir Field,Lancaster,-0.008924590702209967,2020-10-11 20:36:29.231301,0.6,0.05
78,Ganser,D'onofrio,-0.009078684971625825,2020-10-11 20:36:29.231301,0.6,0.05
79,E Washington,S Fourth,-0.009394820499263594,2020-10-11 20:36:29.231301,0.6,0.05
80,J Q Hammons,Greenway Station,-0.009544325289725625,2020-10-11 20:36:29.231301,0.6,0.05
81,International,Anderson,-0.010132855204177338,2020-10-11 20:36:29.231301,0.6,0.05
82,Raymond,Reetz,-0.010143346407970488,2020-10-11 20:36:29.231301,0.6,0.05
83,Pheasant Ridge,Quail Run,-0.010477245696603243,2020-10-11 20:36:29.231301,0.6,0.05
84,Wheeler,Golf View,-0.011626779123062592,2020-10-11 20:36:29.231301,0.6,0.05
85,Regent,S Segoe,-0.011712165102816384,2020-10-11 20:36:29.231301,0.6,0.05
86,W Washington,S Henry,-0.012084730795632409,2020-10-11 20:36:29.231301,0.6,0.05
87,W Washington,N Henry,-0.012251011974158149,2020-10-11 20:36:29.231301,0.6,0.05
88,Deming,Country Inn,-0.012373284096740128,2020-10-11 20:36:29.231301,0.6,0.05
89,E Washington N,4822,-0.012536712579314047,2020-10-11 20:36:29.231301,0.6,0.05
90,Verona,Highway Ramp,-0.012629640692553117,2020-10-11 20:36:29.231301,0.6,0.05
91,State,W Dayton,-0.012903343707383979,2020-10-11 20:36:29.231301,0.6,0.05
92,Allied,Thurston,-0.01301545383989676,2020-10-11 20:36:29.231301,0.6,0.05
93,E Washington,N Second,-0.013230162868753989,2020-10-11 20:36:29.231301,0.6,0.05
94,University Bay,Lot 60,-0.013657423568145269,2020-10-11 20:36:29.231301,0.6,0.05
95,Dempsey,Maher,-0.015690693547570578,2020-10-11 20:36:29.231301,0.6,0.05
96,Independence,East Towne,-0.016094253191519213,2020-10-11 20:36:29.231301,0.6,0.05
97,W Washington,N Fairchild,-0.01630669505173382,2020-10-11 20:36:29.231301,0.6,0.05
98,N Allen,University,-0.016421578897544663,2020-10-11 20:36:29.231301,0.6,0.05
99,E Washington,Independence,-0.01699638099799084,2020-10-11 20:36:29.231301,0.6,0.05
100,Regent,N Prospect,-0.01727036821301546,2020-10-11 20:36:29.231301,0.6,0.05
101,Regent,N Owen,-0.017399156287827428,2020-10-11 20:36:29.231301,0.6,0.05
102,Regent,N Mills,-0.01756849573156262,2020-10-11 20:36:29.231301,0.6,0.05
103,E Washington,S Second,-0.01779336146529003,2020-10-11 20:36:29.231301,0.6,0.05
104,S Park,W Olin,-0.017857621221507233,2020-10-11 20:36:29.231301,0.6,0.05
105,E Johnson,N Baldwin,-0.017862355628920315,2020-10-11 20:36:29.231301,0.6,0.05
106,Red Arrow,Jenewein,-0.01794978636854755,2020-10-11 20:36:29.231301,0.6,0.05
107,Manchester,Hartford,-0.018504850173073684,2020-10-11 20:36:29.231301,0.6,0.05
