X,Y,OBJECTID,IntersectionID,InterDescription,Lat,Lon,Weekday,Saturday,Sunday,Weekday_1_79,Saturday_1_79,Sunday_1_79,WkdCash,WkdSvc,WkdBdPerSvc,DotSize
-89.4674229533573,43.015438071028,1271,259,,43.015446,-89.467429,3.67,1.35,1.35,0,0,0,0,0,0,18341.57
-89.4777759499845,43.0156090718105,1272,260,,43.015617,-89.477782,2.26,3.03,0.68,0,0,0,0,0,0,11323.24
-89.4806489494177,43.015675071679,1273,261,,43.015683,-89.480655,0.57,1.01,1.01,0,0,0,0,0,0,2830.81
-89.5052939420212,43.0156650725814,1274,262,,43.015673,-89.5053,6.14,0,0,0,0,0,0,0,0,30682.66
-89.4756749502691,43.0186070705064,1275,263,,43.018615,-89.475681,0.79,1.01,0,0,0,0,0,0,0,3963.13
-89.5112039398432,43.017320072931,1276,264,,43.017328,-89.51121,2.23,0,0,0,0,0,0,0,0,11147.11
-89.5085969410605,43.0182570727379,1277,265,,43.018265,-89.508603,3.9,0,0,0,0,0,0,0,0,19507.43
-89.4193319666794,43.0192030678102,1278,266,,43.019211,-89.419338,22.03,0.67,0.67,0,0,0,0,0,0,110146.63
-89.5066489415496,43.0197310719858,1279,267,,43.019739,-89.506655,15.37,9.33,7.67,0,0,0,0,0,0,76854
-89.5031449421325,43.0197140721187,1280,268,,43.019722,-89.503151,5.8,5.67,4.33,0,0,0,0,0,0,29022.57
-89.4766939497363,43.0208480702388,1281,269,,43.020856,-89.4767,18.8,11.8,7.78,0,0,0,0,0,0,93982.88
-89.4175159676893,43.0211520676142,1282,270,,43.02116,-89.417522,14.7,2,2.02,0,0,0,0,0,0,73507.83
-89.4215709664206,43.0214840675682,1283,271,,43.021492,-89.421577,11.96,5.67,2.7,0,0,0,0,0,0,59810.01
-89.4187989665885,43.0217830672942,1284,272,,43.021791,-89.418805,16.19,10,6.74,0,0,0,0,0,0,80933.38
-89.4988089440255,43.0200660720566,1285,273,,43.020074,-89.498815,0,0,0,0,0,0,0,0,0,0
-89.5028909421426,43.0221970719009,1286,274,,43.022205,-89.502897,2.46,0.67,1,0,0,0,0,0,0,12324.17
-89.414840967193,43.0240230667644,1287,275,,43.024031,-89.414847,1.01,0.67,0.34,0,0,0,0,0,0,5025.76
-89.4996609427081,43.0242630713633,1288,276,,43.024271,-89.499667,0.9,0,0,0,0,0,0,0,0,4503.84
-89.4792659485902,43.0242750699426,1289,277,,43.024283,-89.479272,7.36,1.01,1.69,0,0,0,0,0,0,36800.53
