rank,cross_1,cross_2,impact_index,generated_time,agent_range,agent_interval
72,E Washington,S First,-0.0015553942178277505,2020-10-11 20:44:49.553485,0.6,0.05
73,Regent,S Randall,-0.0020026655375508864,2020-10-11 20:44:49.553485,0.6,0.05
74,Regent,N Allen,-0.002681094896898162,2020-10-11 20:44:49.553485,0.6,0.05
75,W Washington,N Fairchild,-0.002913462148936355,2020-10-11 20:44:49.553485,0.6,0.05
76,W Washington,N Henry,-0.0036753088876946144,2020-10-11 20:44:49.553485,0.6,0.05
77,S Webster,E Main,-0.0040039994420098535,2020-10-11 20:44:49.553485,0.6,0.05
78,North,E Washington,-0.004224286946580669,2020-10-11 20:44:49.553485,0.6,0.05
79,Mckenna,Lancaster,-0.004559321942764455,2020-10-11 20:44:49.553485,0.6,0.05
80,State,W Gorham,-0.0047555093417515765,2020-10-11 20:44:49.553485,0.6,0.05
81,Britta,Verona E,-0.005007808685688717,2020-10-11 20:44:49.553485,0.6,0.05
82,Hammersley,Rae,-0.005023928791568044,2020-10-11 20:44:49.553485,0.6,0.05
83,North,E Mifflin,-0.005360993445016504,2020-10-11 20:44:49.553485,0.6,0.05
84,W Washington,N Bedford,-0.005365152955927363,2020-10-11 20:44:49.553485,0.6,0.05
85,J Q Hammons,Holiday,-0.005365358842853246,2020-10-11 20:44:49.553485,0.6,0.05
86,W Washington,N Bassett,-0.005452007211133925,2020-10-11 20:44:49.553485,0.6,0.05
87,E Washington,S Fourth,-0.005722394440990125,2020-10-11 20:44:49.553485,0.6,0.05
88,Wheeler,Delaware,-0.005970369740805198,2020-10-11 20:44:49.553485,0.6,0.05
89,Fourier,1233,-0.0061137922481463575,2020-10-11 20:44:49.553485,0.6,0.05
90,Wheeler,Wheeler,-0.006196789482083576,2020-10-11 20:44:49.553485,0.6,0.05
91,W Johnson,N Broom,-0.006540887715694069,2020-10-11 20:44:49.553485,0.6,0.05
92,Lake Point,1531,-0.006638018347692537,2020-10-11 20:44:49.553485,0.6,0.05
93,Excelsior,Deming,-0.006721027454551998,2020-10-11 20:44:49.553485,0.6,0.05
94,W Doty,M L K Junior,-0.006730852633745635,2020-10-11 20:44:49.553485,0.6,0.05
95,Northport,Kennedy,-0.006971543274153669,2020-10-11 20:44:49.553485,0.6,0.05
96,N Hamilton,E Gorham,-0.008410532535468085,2020-10-11 20:44:49.553485,0.6,0.05
97,Muir Field,Lancaster,-0.008924590702209967,2020-10-11 20:44:49.553485,0.6,0.05
98,Muir Field,Gladstone,-0.009130163845417094,2020-10-11 20:44:49.553485,0.6,0.05
99,N Segoe,Kelab,-0.00956690935729785,2020-10-11 20:44:49.553485,0.6,0.05
100,Muir Field,Lindfield,-0.009709683249137124,2020-10-11 20:44:49.553485,0.6,0.05
101,E Washington N,E Springs,-0.010184272642586145,2020-10-11 20:44:49.553485,0.6,0.05
102,International,Anderson,-0.01074085678350764,2020-10-11 20:44:49.553485,0.6,0.05
103,N Lake,Langdon,-0.010982910635037882,2020-10-11 20:44:49.553485,0.6,0.05
104,J Q Hammons,Greenway Station,-0.01110995710687801,2020-10-11 20:44:49.553485,0.6,0.05
105,E Washington,Independence,-0.011385475171002815,2020-10-11 20:44:49.553485,0.6,0.05
106,Crossroads,2801,-0.011478241485572804,2020-10-11 20:44:49.553485,0.6,0.05
107,E Washington,N Second,-0.011691203641923845,2020-10-11 20:44:49.553485,0.6,0.05
108,Regent,N Prospect,-0.012755905499035658,2020-10-11 20:44:49.553485,0.6,0.05
109,University Bay,Lot 60,-0.012757660173797716,2020-10-11 20:44:49.553485,0.6,0.05
110,W Washington,S Henry,-0.012925739920375233,2020-10-11 20:44:49.553485,0.6,0.05
111,Atwood,Division,-0.013551279605304167,2020-10-11 20:44:49.553485,0.6,0.05
112,Tompkins,Alder,-0.01364278259520818,2020-10-11 20:44:49.553485,0.6,0.05
113,E Johnson,N Baldwin,-0.013849807460799848,2020-10-11 20:44:49.553485,0.6,0.05
114,S Midvale,Nakoma,-0.014390768156953657,2020-10-11 20:44:49.553485,0.6,0.05
115,Raymond,Reetz,-0.014647916805880914,2020-10-11 20:44:49.553485,0.6,0.05
116,Northland,Judy,-0.014788885189378459,2020-10-11 20:44:49.553485,0.6,0.05
117,E Washington,S Second,-0.014931735969498448,2020-10-11 20:44:49.553485,0.6,0.05
118,Ganser,D'onofrio,-0.014982072629535728,2020-10-11 20:44:49.553485,0.6,0.05
119,N Allen,University,-0.015238256378497787,2020-10-11 20:44:49.553485,0.6,0.05
120,Delaware,Esch,-0.015363237813721092,2020-10-11 20:44:49.553485,0.6,0.05
121,N Broom,W Gorham,-0.015594399702387726,2020-10-11 20:44:49.553485,0.6,0.05
122,State,W Dayton,-0.015972193275869084,2020-10-11 20:44:49.553485,0.6,0.05
123,Deming,Country Inn,-0.016301580672980626,2020-10-11 20:44:49.553485,0.6,0.05
124,E Wilson,M L K Junior,-0.016321768554322443,2020-10-11 20:44:49.553485,0.6,0.05
125,Manchester,Hartford,-0.01791489647004657,2020-10-11 20:44:49.553485,0.6,0.05
126,Regent,S Segoe,-0.01791972232448656,2020-10-11 20:44:49.553485,0.6,0.05
127,Northland,Delaware,-0.018003054541740338,2020-10-11 20:44:49.553485,0.6,0.05
128,S Bassett,W Washington,-0.01905556437614262,2020-10-11 20:44:49.553485,0.6,0.05
129,S Gammon,Gammon,-0.019316789898784048,2020-10-11 20:44:49.553485,0.6,0.05
130,Milwaukee,N Bryan,-0.01978220768094907,2020-10-11 20:44:49.553485,0.6,0.05
131,Ganser,Mineral Point,-0.020166672647890654,2020-10-11 20:44:49.553485,0.6,0.05
132,Merryturn,Spicebush,-0.020709012059506565,2020-10-11 20:44:49.553485,0.6,0.05
133,Fitchrona,King James,-0.020915341933561205,2020-10-11 20:44:49.553485,0.6,0.05
134,Randolph,Westward,-0.021086563985846414,2020-10-11 20:44:49.553485,0.6,0.05
135,Independence,East Towne,-0.021744414210657412,2020-10-11 20:44:49.553485,0.6,0.05
136,E Olin,Colby,-0.02204928158401548,2020-10-11 20:44:49.553485,0.6,0.05
137,Forest Run,Hayes,-0.02277583485630727,2020-10-11 20:44:49.553485,0.6,0.05
138,E Washington N,4810,-0.0228687291397226,2020-10-11 20:44:49.553485,0.6,0.05
139,E Washington,N First,-0.023942432901257846,2020-10-11 20:44:49.553485,0.6,0.05
140,S Rosa,Regent,-0.024074458805766863,2020-10-11 20:44:49.553485,0.6,0.05
141,Wyalusing,Reston Heights,-0.02417213170749899,2020-10-11 20:44:49.553485,0.6,0.05
142,W Washington,N Broom,-0.02536634481727145,2020-10-11 20:44:49.553485,0.6,0.05
143,E Doty,S Pinckney,-0.02561651981773945,2020-10-11 20:44:49.553485,0.6,0.05
144,Aberg,Loftsgordan,-0.026878040758887778,2020-10-11 20:44:49.553485,0.6,0.05
145,S Allen,Rowley,-0.027000737832580377,2020-10-11 20:44:49.553485,0.6,0.05
146,S Broom,W Washington,-0.02724416452376019,2020-10-11 20:44:49.553485,0.6,0.05
147,W Washington,S Carroll,-0.02743919498813048,2020-10-11 20:44:49.553485,0.6,0.05
148,Excelsior,A F S C M E,-0.027484130891497233,2020-10-11 20:44:49.553485,0.6,0.05
149,Schroeder,Forward,-0.02779405170839344,2020-10-11 20:44:49.553485,0.6,0.05
150,State,N Lake,-0.02839829100582717,2020-10-11 20:44:49.553485,0.6,0.05
151,State,W Johnson,-0.029313037594371552,2020-10-11 20:44:49.553485,0.6,0.05
152,W Gorham,N Henry,-0.02943247119183493,2020-10-11 20:44:49.553485,0.6,0.05
153,N Segoe,518,-0.031057043267567815,2020-10-11 20:44:49.553485,0.6,0.05
154,W Washington,S Bedford,-0.03137161858192087,2020-10-11 20:44:49.553485,0.6,0.05
155,Excelsior,Associated Bank,-0.031910672069593166,2020-10-11 20:44:49.553485,0.6,0.05
156,State,N Frances,-0.03246387074749872,2020-10-11 20:44:49.553485,0.6,0.05
157,Regent,N Owen,-0.033325543238997245,2020-10-11 20:44:49.553485,0.6,0.05
158,W Main,S Carroll,-0.034026781895460614,2020-10-11 20:44:49.553485,0.6,0.05
159,N Franklin,E Johnson,-0.03475089489922032,2020-10-11 20:44:49.553485,0.6,0.05
160,Milwaukee,N Fair Oaks,-0.034940404534297725,2020-10-11 20:44:49.553485,0.6,0.05
161,E Dayton,Wisconsin,-0.03536739342604096,2020-10-11 20:44:49.553485,0.6,0.05
