OBJECTID,WARD,ALD_DIST,SUP_DIST,ASM_DIST,SEN_DIST,ADDRESS,HANDICAP_ACCESS,SPEC_COMMENTS,PHONE_NO,BALLOT_COLOR,SHAPESTArea,SHAPESTLength
19576,72,14,23,77,26,,,,,,12783219.3688965,21835.404359253
19577,114,1,15,79,27,,,,,,16480.9393310547,513.955012811174
19578,-1,-1,4,47,16,,,,,,298613.649902344,2248.01502359355
19579,-1,-1,4,47,16,,,,,,39196.9126586914,791.925712134949
19580,-1,-1,15,79,27,,,,,,51013.4864501953,896.047507332189
19581,-1,-1,15,79,27,,,,,,31821.2801208496,729.69107856843
19582,-1,-1,15,79,27,,,,,,8856.32025146484,384.16785874754
19583,-1,-1,15,79,27,,,,,,151666.261535645,1599.64264000696
19584,-1,-1,15,79,27,,,,,,416301.442352295,3526.14653056695
19585,-1,-1,32,80,27,,,,,,98676.624206543,1259.66684768552
19586,-1,-1,15,79,27,,,,,,1948454.81158447,5578.32390441682
19587,-1,-1,15,79,27,,,,,,966548.005615234,5182.33477562063
19588,-1,-1,15,79,27,,,,,,236802.021240234,1946.69250578136
19589,-1,-1,15,79,27,,,,,,8204737.97521973,12208.9598607419
19590,-1,-1,15,79,27,,,,,,1596160.1003418,5883.44843411148
19591,-1,-1,15,79,27,,,,,,2734384.22421265,8030.20621376896
19592,119,1,15,79,27,,,,,,4540997.88702393,11972.5792286787
19593,-1,-1,15,79,27,,,,,,60278.0945129395,1058.34874589033
19594,-1,-1,15,79,27,,,,,,57808.5008850098,1010.74308809113
19595,-1,-1,15,79,27,,,,,,374073.247741699,2686.64645803701
19596,-1,-1,15,79,27,,,,,,3339596.89230347,10279.6556015867
19597,-1,-1,15,79,27,,,,,,483393.225769043,2881.56838422263
19598,120,9,15,79,27,,,,,,221978.791564941,2315.13915752535
19599,-1,-1,15,79,27,,,,,,282477.151000977,2715.01018322066
19600,143,-1,29,79,27,,,,,,239624.258056641,2045.38949363502
19601,-1,-1,29,79,27,,,,,,631638.08215332,4293.9196077713
19602,-1,-1,29,79,27,,,,,,173246.213104248,1728.08337097046
19603,-1,-1,15,79,27,,,,,,879280.482208252,5700.77241909455
19604,-1,-1,15,79,27,,,,,,3331982.9418335,7815.20917589375
19605,-1,-1,15,79,27,,,,,,473938.719024658,2868.63374792225
19606,-1,-1,29,79,27,,,,,,36369.614074707,761.967086846511
19607,-1,-1,29,79,27,,,,,,79707.9281921387,1298.48457339173
19608,-1,-1,29,79,27,,,,,,45029.0798950195,1231.95747450991
19609,-1,-1,15,79,27,,,,,,285809.91619873,2575.78126093962
19610,-1,-1,15,79,27,,,,,,17495.9143676758,529.569659862549
19611,-1,-1,15,79,27,,,,,,26287.3169250488,664.046932856106
19612,-1,-1,4,47,16,,,,,,1016596.13418579,11115.9164473872
19613,-1,-1,4,47,16,,,,,,2353094.47824097,10205.297080125
19614,-1,-1,4,47,16,,,,,,6138318.59677124,20985.7730723384
19615,-1,-1,23,47,16,,,,,,926436.754730225,4395.13307668565
19616,-1,-1,23,47,16,,,,,,5497925.00021362,17666.1745326369
19617,-1,-1,16,47,16,,,,,,7217062.90753174,16148.0571391827
19618,-1,-1,16,47,16,,,,,,76888.2780151367,1440.71944742312
19619,-1,-1,16,47,16,,,,,,50350.2210083008,933.354489382803
19620,-1,-1,16,47,16,,,,,,1431972.73193359,7356.88901333353
19621,-1,-1,16,47,16,,,,,,301699.898529053,2334.06472201769
19622,-1,-1,6,47,16,,,,,,6222707.15512085,14827.3357710801
19623,-1,-1,6,47,16,,,,,,1337800.06182861,9658.98760130383
19624,-1,-1,21,79,27,,,,,,1198932.21975708,4363.18944343682
19625,75,14,4,77,26,,,,,,14252088.7146606,19690.6545059027
19626,-1,-1,23,47,16,,,,,,1240878.50177002,5168.00447401081
19627,-1,-1,4,47,16,,,,,,1373806.96438599,5215.77939435285
19628,-1,-1,4,47,16,,,,,,2192962.33358765,6464.83550561148
19629,-1,-1,25,79,27,,,,,,6951002.69961548,16871.6167816291
19630,-1,-1,25,79,27,,,,,,161078.670043945,2028.44415118585
19631,-1,-1,16,47,16,,,,,,41389170.8459167,35754.6096301157
