Ward,2 unit Apartment,3-7 unit Apartment,Condominium,Other,Single family,None.HS,East,Lafollette,Memorial,Optional,West,2008Registered_Voters,2009Registered_Voters,2010Registered_Voters,2011Registered_Voters,2012Registered_Voters,2013Registered_Voters,2014Registered_Voters,2015Registered_Voters,2016Registered_Voters,2017Registered_Voters,2018Registered_Voters,2019Registered_Voters,2008Turnout,2009Turnout,2010Turnout,2011Turnout,2012Turnout,2013Turnout,2014Turnout,2015Turnout,2016Turnout,2017Turnout,2018Turnout,2019Turnout,m,lat,lon,people in one unit,condo,2 unit,2 more,total
90,0,0,0,0,1,0,0,0,1,0,0,2488,2756,3500,2466,4555,857,2587,1787,3454,1838,2669,1488,1243,345,929,859,1995,223,851,370,1504,301,1281,465,0.32,43.04901374,-89.49088216,2.57302565,0,0,0,2.57302565
91,53,0,9,1,605,0,0,0,1,0,0,3926,4458,5442,3846,7457,1544,4587,3158,6250,3274,5577,2982,2047,539,1507,1350,4737,587,2073,946,3374,969,3239,1272,0.38,43.04279772,-89.48833848,1556.680518,33.82604851,398.3956825,0,1988.902249
92,90,32,87,0,462,0,0,0,1,0,0,5026,5744,7723,5358,6680,1258,4046,2638,5190,2981,4690,2684,2757,819,2093,1961,3674,365,1387,522,2768,604,2338,821,0.35,43.03559783,-89.4906516,1188.73785,326.9851356,676.5209703,476.4404942,2668.684451
93,1,20,8,0,65,0,0,0,1,0,0,4938,5584,7074,4936,1529,305,982,678,1367,795,1125,674,2474,624,1791,1621,764,52,240,77,521,109,481,154,0.24,43.03315746,-89.47951661,167.2466673,30.06759868,7.51689967,297.7753089,502.6064745
94,5,32,0,0,394,0,0,0,1,0,0,1786,2014,2579,1782,4399,894,2638,1829,3620,1879,2991,1661,970,322,777,712,2777,349,1114,528,1881,512,1705,648,0.41,43.02944022,-89.47478103,1013.772106,0,37.58449835,476.4404942,1527.797099
95,88,0,94,0,790,0,0,0,1,0,0,1682,1682,2392,1554,9114,2073,5690,3903,7614,3963,6574,3581,1163,242,711,584,5262,539,2139,946,4038,1041,3535,1418,0.39,43.02692514,-89.49286444,2032.690264,353.2942845,661.4871709,0,3047.471719
96,16,2,102,0,472,1,0,0,1,0,0,4234,4234,6055,4092,7900,1613,4839,3255,6525,3542,5441,3096,3455,874,1872,1836,4088,355,1564,611,3146,774,2892,944,0.38,43.01938369,-89.49134242,1214.468107,383.3618832,120.2703947,29.77753089,1747.877916
97,11,6,445,1,923,0,0,0,1,0,0,924,1028,1330,876,10711,2266,6579,4653,9556,5176,7129,4811,694,220,436,416,5560,408,2118,753,4360,889,4088,1363,0.37,43.00901242,-89.493308,2374.902675,1672.510177,82.68589637,89.33259266,4219.431341
98,2,12,296,0,998,0,0,0,1,0,0,4822,5686,6713,4630,11688,2610,7848,5584,11135,5942,7496,5732,3091,492,1611,1380,6643,522,2623,904,5153,1084,4321,1667,0.33,43.00948191,-89.51058471,2567.879599,1112.501151,15.03379934,178.6651853,3874.079735
99,36,3,52,0,317,0,0,0,1,0,0,7588,9148,12023,8680,4725,1125,2845,1928,3758,1982,3109,1813,4268,1038,3394,2940,2323,180,898,383,1698,316,1888,447,0.3,43.01876212,-89.50364795,815.6491312,195.4393914,270.6083881,44.66629633,1326.363207
100,25,27,302,0,616,0,0,0,1,0,0,4,2,6,8,9688,2231,5983,4041,8125,4320,6900,3915,3,0,6,5,4657,357,1864,729,3741,764,3458,1185,0.37,43.02185522,-89.51574175,1584.983801,1135.05185,187.9224917,401.996667,3309.954809
101,7,19,145,0,81,0,0,0,1,0,0,0,0,0,0,2672,658,1779,1226,2364,1234,2042,1192,0,0,0,0,1597,112,539,204,1912,236,999,342,0.25,43.0297207,-89.50212312,208.4150777,544.9752261,52.61829769,282.8865434,1088.895145
102,0,1,327,0,386,1,0,0,1,0,0,490,708,1066,776,6256,1443,3812,2604,5295,2912,4367,2530,1102,108,348,626,3150,231,1092,398,2267,542,2056,659,0.5,43.03848253,-89.50912506,993.187901,1229.013096,0,14.88876544,2237.089762
103,37,8,286,0,34,1,0,0,1,0,0,0,0,0,0,2785,542,1484,1004,2046,1165,1826,1057,0,0,0,0,982,76,431,95,887,132,719,197,0.17,43.0424149,-89.50232028,87.48287211,1074.916653,278.1252878,119.1101235,1559.634936
104,9,0,730,0,288,1,0,0,1,0,0,0,0,0,0,9580,2021,5964,4110,8191,4532,6243,3804,0,0,0,0,3962,283,1646,510,3501,687,2908,834,0.18,43.04941428,-89.51022933,741.0313873,2743.668379,67.65209703,0,3552.351864
105,24,12,414,0,493,1,0,0,1,0,0,0,0,0,0,9345,2207,6043,4404,8948,4969,7302,4465,3,0,0,0,4687,309,1760,521,3845,818,3566,1117,0.2,43.03152892,-89.52606344,1268.501646,1555.998232,180.4055921,178.6651853,3183.570655
106,0,0,361,0,971,0,0,0,1,0,0,0,0,0,0,7910,2117,5805,4425,9178,5178,8746,5535,0,0,0,0,4800,360,1955,621,4159,807,4346,1331,0.21,43.03103245,-89.54588768,2498.407907,1356.80039,0,0,3855.208297
107,0,0,136,0,662,1,0,0,1,0,0,32,236,355,366,4096,940,2702,1943,4571,3147,5871,4144,108,11,134,96,2536,282,1137,584,2734,626,3585,1238,0.61,43.05363402,-89.54072841,1703.342981,511.1491775,0,0,2214.492158
108,0,0,100,0,441,0,0,0,1,0,0,212,302,430,320,9140,2125,5797,3834,7607,4046,6092,3574,163,28,116,127,4731,425,1875,708,3493,857,3229,1078,0.35,43.06223266,-89.50928495,1134.704312,375.8449835,0,0,1510.549295
109,8,0,272,0,602,0,0,0,1,0,0,56,108,163,114,10155,2084,5727,3957,7878,4168,7071,3905,172,5,29,21,5328,542,2261,965,4115,1088,3976,1490,0.55,43.06857122,-89.51620191,1548.961442,1022.298355,60.13519736,0,2631.394994
110,11,0,183,0,199,1,0,0,1,0,0,336,446,642,472,6058,1414,3814,2642,5463,3180,5119,3193,237,126,169,155,3652,396,1488,673,4213,756,2942,1107,0.42,43.07362029,-89.52936884,512.0321044,687.7963198,82.68589637,0,1282.514321
111,2,0,177,0,787,1,0,0,0,0,0,0,0,0,0,10539,2400,6602,4594,9485,5201,8340,4834,0,0,0,0,5370,408,1994,558,4303,791,4038,1145,0.2,43.07216798,-89.5493566,2024.971187,665.2456208,15.03379934,0,2705.250607
112,0,0,0,0,0,1,0,0,0,0,0,62,112,173,174,0,0,0,0,0,0,0,0,46,18,75,69,1,0,0,0,0,0,0,0,0.07,43.14908974,-89.35761017,0,0,0,0,0
113,0,0,0,0,0,1,0,0,0,0,0,20,22,32,28,0,0,0,0,0,0,0,0,24,18,36,14,0,0,0,0,0,0,0,0,0.28,43.04211259,-89.37652881,0,0,0,0,0
114,0,0,0,0,1,0,0,0,1,0,0,32,132,237,302,0,0,0,0,0,0,0,1,55,14,100,99,0,0,3,0,0,0,0,0,0.19,43.03204165,-89.51873547,2.57302565,0,0,0,2.57302565
115,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.03129312,-89.5306982,0,0,0,0,0
116,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.03148409,-89.51648989,0,0,0,0,0
117,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43.05064653,-89.49769209,0,0,0,0,0
118,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.14828858,-89.35358572,0,0,0,0,0
119,0,0,0,0,0,1,0,0,0,0,0,10,10,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,43.040831,-89.53654577,0,0,0,0,0
120,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.05824403,-89.52818766,0,0,0,0,0
121,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,12,33,21,0,0,23,0,0,0,0,0,16,5,47,11,0.41,43.02408251,-89.52413429,25.7302565,0,0,0,25.7302565
122,0,0,0,0,69,1,0,0,0,0,0,42,72,113,96,0,0,6,0,1,15,75,86,46,2,36,28,0,0,0,0,2,3,68,16,0.34,43.07138197,-89.55871671,177.5387699,0,0,0,177.5387699
124,0,0,0,0,51,1,0,0,0,0,0,0,0,0,0,0,0,1,10,10,34,105,116,0,0,0,0,0,0,1,0,12,4,79,30,0.27,43.06424296,-89.56521269,131.2243082,0,0,0,131.2243082
125,0,0,0,0,30,1,0,0,1,0,0,0,0,0,0,0,0,6,0,1,10,22,38,2,0,0,0,0,0,0,0,0,1,19,7,0.11,43.0304715,-89.55394075,77.19076951,0,0,0,77.19076951
126,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,98,0,0,84,0,0,0,0,0,0,0,33,12,0.12,43.14353365,-89.30330499,0,0,0,0,0
127,0,0,0,0,0,1,0,0,0,0,0,0,0,22,98,0,0,0,0,6,0,0,1,0,0,47,29,0,0,0,0,0,0,0,0,0.16,43.04911598,-89.56391393,0,0,0,0,0
